Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price (£/MWh)
01 January 2024,1,APXMIDP ,664.4,36.51
01 January 2024,1,N2EXMIDP,0,0
01 January 2024,2,APXMIDP ,768.65,45.17
01 January 2024,2,N2EXMIDP,0,0
01 January 2024,3,APXMIDP ,805.4,57.43
01 January 2024,3,N2EXMIDP,0,0
01 January 2024,4,APXMIDP ,655.85,46.61
01 January 2024,4,N2EXMIDP,0,0
01 January 2024,5,APXMIDP ,756.35,61.98
01 January 2024,5,N2EXMIDP,0,0
01 January 2024,6,APXMIDP ,807.9,61.09
01 January 2024,6,N2EXMIDP,0,0
01 January 2024,7,APXMIDP ,744.7,64.29
01 January 2024,7,N2EXMIDP,0,0
01 January 2024,8,APXMIDP ,762.25,51.7
01 January 2024,8,N2EXMIDP,0,0
01 January 2024,9,APXMIDP ,806.95,53.16
01 January 2024,9,N2EXMIDP,0,0
01 January 2024,10,APXMIDP ,1125.35,34.87
01 January 2024,10,N2EXMIDP,0,0
01 January 2024,11,APXMIDP ,1072.5,36.36
01 January 2024,11,N2EXMIDP,0,0
01 January 2024,12,APXMIDP ,1202.3,34.98
01 January 2024,12,N2EXMIDP,0,0
01 January 2024,13,APXMIDP ,979.75,41.7
01 January 2024,13,N2EXMIDP,0,0
01 January 2024,14,APXMIDP ,1041.8,55.33
01 January 2024,14,N2EXMIDP,0,0
01 January 2024,15,APXMIDP ,1154.9,54.37
01 January 2024,15,N2EXMIDP,0,0
01 January 2024,16,APXMIDP ,1157.5,56.24
01 January 2024,16,N2EXMIDP,0,0
01 January 2024,17,APXMIDP ,1149.65,31.32
01 January 2024,17,N2EXMIDP,0,0
01 January 2024,18,APXMIDP ,981.8,51.55
01 January 2024,18,N2EXMIDP,0,0
01 January 2024,19,APXMIDP ,1018,59.32
01 January 2024,19,N2EXMIDP,0,0
01 January 2024,20,APXMIDP ,900.5,72.25
01 January 2024,20,N2EXMIDP,0,0
01 January 2024,21,APXMIDP ,894.5,72.03
01 January 2024,21,N2EXMIDP,0,0
01 January 2024,22,APXMIDP ,1019.05,82.01
01 January 2024,22,N2EXMIDP,0,0
01 January 2024,23,APXMIDP ,1122.75,74.73
01 January 2024,23,N2EXMIDP,0,0
01 January 2024,24,APXMIDP ,1406.65,81.93
01 January 2024,24,N2EXMIDP,0,0
01 January 2024,25,APXMIDP ,1207.6,80.76
01 January 2024,25,N2EXMIDP,0,0
01 January 2024,26,APXMIDP ,1472.75,77.51
01 January 2024,26,N2EXMIDP,0,0
01 January 2024,27,APXMIDP ,1066.15,76.18
01 January 2024,27,N2EXMIDP,0,0
01 January 2024,28,APXMIDP ,1242,77.48
01 January 2024,28,N2EXMIDP,0,0
01 January 2024,29,APXMIDP ,991.2,79.5
01 January 2024,29,N2EXMIDP,0,0
01 January 2024,30,APXMIDP ,1270.8,81.15
01 January 2024,30,N2EXMIDP,0,0
01 January 2024,31,APXMIDP ,1173.5,66.03
01 January 2024,31,N2EXMIDP,0,0
01 January 2024,32,APXMIDP ,1211.75,61.93
01 January 2024,32,N2EXMIDP,0,0
01 January 2024,33,APXMIDP ,1377.85,67.62
01 January 2024,33,N2EXMIDP,0,0
01 January 2024,34,APXMIDP ,1615.05,68.13
01 January 2024,34,N2EXMIDP,0,0
01 January 2024,35,APXMIDP ,1834.95,60.94
01 January 2024,35,N2EXMIDP,0,0
01 January 2024,36,APXMIDP ,2022,59.6
01 January 2024,36,N2EXMIDP,0,0
01 January 2024,37,APXMIDP ,1982.05,57.81
01 January 2024,37,N2EXMIDP,0,0
01 January 2024,38,APXMIDP ,1804.9,56.01
01 January 2024,38,N2EXMIDP,0,0
01 January 2024,39,APXMIDP ,2423.9,49.22
01 January 2024,39,N2EXMIDP,0,0
01 January 2024,40,APXMIDP ,2392.65,36.77
