Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price (£/MWh)
01 January 2025,1,APXMIDP ,1470.95,9.07
01 January 2025,1,N2EXMIDP,0,0
01 January 2025,2,APXMIDP ,1792.8,23.51
01 January 2025,2,N2EXMIDP,0,0
01 January 2025,3,APXMIDP ,1900.55,9.11
01 January 2025,3,N2EXMIDP,0,0
01 January 2025,4,APXMIDP ,1891,8.94
01 January 2025,4,N2EXMIDP,0,0
01 January 2025,5,APXMIDP ,2141.6,29.65
01 January 2025,5,N2EXMIDP,0,0
01 January 2025,6,APXMIDP ,1866.55,17.91
01 January 2025,6,N2EXMIDP,0,0
01 January 2025,7,APXMIDP ,1376.8,11.74
01 January 2025,7,N2EXMIDP,0,0
01 January 2025,8,APXMIDP ,1368.5,6.2
01 January 2025,8,N2EXMIDP,0,0
01 January 2025,9,APXMIDP ,1824.2,7.01
01 January 2025,9,N2EXMIDP,0,0
01 January 2025,10,APXMIDP ,1787.1,4.32
01 January 2025,10,N2EXMIDP,0,0
01 January 2025,11,APXMIDP ,1563.65,3.27
01 January 2025,11,N2EXMIDP,0,0
01 January 2025,12,APXMIDP ,1964.6,3.44
01 January 2025,12,N2EXMIDP,0,0
01 January 2025,13,APXMIDP ,1593.25,1.84
01 January 2025,13,N2EXMIDP,0,0
01 January 2025,14,APXMIDP ,1704.05,4.63
01 January 2025,14,N2EXMIDP,0,0
01 January 2025,15,APXMIDP ,1438.3,-1.5
01 January 2025,15,N2EXMIDP,0,0
01 January 2025,16,APXMIDP ,1435.85,-2.25
01 January 2025,16,N2EXMIDP,0,0
01 January 2025,17,APXMIDP ,2000.1,-6.35
01 January 2025,17,N2EXMIDP,0,0
01 January 2025,18,APXMIDP ,2378.5,-2.9
01 January 2025,18,N2EXMIDP,0,0
01 January 2025,19,APXMIDP ,2340.25,-14.33
01 January 2025,19,N2EXMIDP,0,0
01 January 2025,20,APXMIDP ,2488.1,1.84
01 January 2025,20,N2EXMIDP,0,0
01 January 2025,21,APXMIDP ,2752.7,-3.34
01 January 2025,21,N2EXMIDP,0,0
01 January 2025,22,APXMIDP ,2692.05,16.96
01 January 2025,22,N2EXMIDP,0,0
01 January 2025,23,APXMIDP ,2036.5,10.53
01 January 2025,23,N2EXMIDP,0,0
01 January 2025,24,APXMIDP ,1870.35,25.49
01 January 2025,24,N2EXMIDP,0,0
01 January 2025,25,APXMIDP ,1725.6,45.57
01 January 2025,25,N2EXMIDP,0,0
01 January 2025,26,APXMIDP ,1901.3,60.24
01 January 2025,26,N2EXMIDP,0,0
01 January 2025,27,APXMIDP ,1629.2,82.29
01 January 2025,27,N2EXMIDP,0,0
01 January 2025,28,APXMIDP ,1723.95,85.57
01 January 2025,28,N2EXMIDP,0,0
01 January 2025,29,APXMIDP ,1734.65,87.18
01 January 2025,29,N2EXMIDP,0,0
01 January 2025,30,APXMIDP ,1915.05,90.24
01 January 2025,30,N2EXMIDP,0,0
01 January 2025,31,APXMIDP ,1690.7,97.49
01 January 2025,31,N2EXMIDP,0,0
01 January 2025,32,APXMIDP ,1561.1,112.25
01 January 2025,32,N2EXMIDP,0,0
01 January 2025,33,APXMIDP ,1822.55,119.72
01 January 2025,33,N2EXMIDP,0,0
01 January 2025,34,APXMIDP ,2171.65,121.25
01 January 2025,34,N2EXMIDP,0,0
01 January 2025,35,APXMIDP ,2048.3,125.79
01 January 2025,35,N2EXMIDP,0,0
01 January 2025,36,APXMIDP ,1894.95,126.73
01 January 2025,36,N2EXMIDP,0,0
01 January 2025,37,APXMIDP ,2345.4,125.66
01 January 2025,37,N2EXMIDP,0,0
01 January 2025,38,APXMIDP ,2241.8,125.69
01 January 2025,38,N2EXMIDP,0,0
01 January 2025,39,APXMIDP ,2061.05,125.56
01 January 2025,39,N2EXMIDP,0,0
01 January 2025,40,APXMIDP ,2429.85,120.95
01 January 2025,40,N2EXMIDP,0,0
01 January 2025,41,APXMIDP ,2533.95,109.7
01 January 2025,41,N2EXMIDP,0,0
01 January 2025,42,APXMIDP ,2323.95,106.87
01 January 2025,42,N2EXMIDP,0,0
01 January 2025,43,APXMIDP ,1983.4,106
01 January 2025,43,N2EXMIDP,0,0
01 January 2025,44,APXMIDP ,2108.1,110.84
01 January 2025,44,N2EXMIDP,0,0
01 January 2025,45,APXMIDP ,2177.75,111.04
01 January 2025,45,N2EXMIDP,0,0
01 January 2025,46,APXMIDP ,2303.45,108.13
01 January 2025,46,N2EXMIDP,0,0
01 January 2025,47,APXMIDP ,1265.2,107.77
01 January 2025,47,N2EXMIDP,0,0
01 January 2025,48,APXMIDP ,1324,106.05
01 January 2025,48,N2EXMIDP,0,0
02 January 2025,1,APXMIDP ,1624.1,110.4
02 January 2025,1,N2EXMIDP,0,0
02 January 2025,2,APXMIDP ,1962.95,112.24
02 January 2025,2,N2EXMIDP,0,0
02 January 2025,3,APXMIDP ,2095.65,110.88
02 January 2025,3,N2EXMIDP,0,0
02 January 2025,4,APXMIDP ,1960.1,108.63
02 January 2025,4,N2EXMIDP,0,0
02 January 2025,5,APXMIDP ,2180.45,106.89
02 January 2025,5,N2EXMIDP,0,0
02 January 2025,6,APXMIDP ,2287.75,98.16
02 January 2025,6,N2EXMIDP,0,0
02 January 2025,7,APXMIDP ,2868.1,101.2
02 January 2025,7,N2EXMIDP,0,0
